UNIT,SOLD PRICE,BEDS,BATHS,SQFT,FURNISHED,MAINT$,SOLD DATE
2909,470000,2,2.5,1323,NO,800,12/16/2019
5005,515000,2,2,1200,NO,789,12/2/2019
706,548500,2,2.5,1457,NO,950,9/20/2019
4703,385000,1,1.5,943,NO,620,9/18/2019
2412,459000,2,2,1318,NO,823,9/5/2019
2803,360000,1,1.5,943,NO,650,9/1/2019
4205,490000,2,2,1322,NO,823,8/20/2019
5301,495000,2,2,1315,NO,,8/8/2019
4610,545000,2,2.5,1255,YES,825,8/5/2019
5103,420000,1,1.5,945,NO,570,7/19/2019
2111,350000,1,1.5,845,NO,527,7/15/2019
3609,475000,2,2.5,1323,NO,869,6/28/2019
2303,343300,1,1.5,943,NO,620,6/22/2019
3912,450000,2,2,1318,NO,760,6/21/2019
1912,455000,2,2,1318,NO,670,6/20/2019
5004,475000,2,2,1208,NO,789,5/20/2019
3405,457000,2,2,1198,YES,,5/6/2019
610,329000,1,1.5,845,NO,551,4/8/2019
4112,465000,2,2,1318,NO,862,4/4/2019
2802,220000,1,1.5,843,NO,552,3/27/2019
